Test_Type,Number of clauses,conflicts,decisions,Memory used,CPU time
hard_01,9468,92,180,5.19,0.004544
hard_02,9494,128,334,5.19,0.004723
hard_03,9481,211,379,5.42,0.005013
hard_04,9472,134,221,5.19,0.004703
hard_05,9456,64,143,5.19,0.004426
hard_06,9459,448,699,5.25,0.005961
hard_07,9465,728,1227,5.73,0.008135
hard_08,9496,180,290,5.19,0.004989
hard_09,9465,579,1001,5.22,0.007076
hard_10,9492,170,265,5.46,0.005087
hard_11,9467,228,388,5.56,0.005242
hard_12,9257,185,309,5.24,0.004488
hard_13,9279,142,224,5.19,0.004496
hard_14,9484,223,290,5.24,0.005127
hard_15,9506,41,81,5.19,0.004435
hard_16,9472,1063,1752,5.60,0.010368
hard_17,9284,20,39,5.19,0.004008
hard_18,9502,450,889,5.41,0.006179
hard_19,9356,88,164,5.19,0.00437
hard_20,9210,129,203,5.46,0.004369
hard_21,9515,109,199,5.49,0.004757
hard_22,9265,90,129,5.19,0.00423
hard_23,9459,121,219,5.19,0.00469
hard_24,9259,35,64,5.38,0.004392
hard_25,9238,68,105,5.19,0.004209
hard_26,9511,76,248,5.40,0.004483
hard_27,9472,127,266,5.22,0.004742
hard_28,9498,671,1084,5.71,0.007907
hard_29,9284,12,28,5.33,0.003991
hard_30,9473,12,51,5.66,0.004477
hard_31,9325,75,134,5.42,0.00489
hard_32,9206,92,133,5.58,0.004726
hard_33,9260,24,58,5.19,0.004058
hard_34,9495,184,486,5.54,0.004951
hard_35,9255,82,149,5.19,0.004293
hard_36,9499,84,160,5.54,0.005201
hard_37,9501,31,94,5.44,0.004438
hard_38,9357,146,246,5.19,0.004671
hard_39,9258,44,67,5.19,0.004148
hard_40,9280,47,78,5.58,0.004168
hard_41,9469,352,520,5.57,0.006085
hard_42,9473,337,739,5.50,0.00565
hard_43,9239,13,38,5.40,0.004003
hard_44,9259,32,77,5.48,0.004021
hard_45,9222,80,179,5.39,0.004141
hard_46,9487,609,941,5.22,0.007297
hard_47,9382,199,324,5.41,0.004755
hard_48,9291,103,166,5.50,0.004402
hard_49,9515,744,1304,5.22,0.007968
hard_50,9496,937,1449,5.49,0.009563
hard_51,9247,9,23,5.73,0.004018
hard_52,9261,162,221,5.19,0.004564
hard_53,9228,78,105,5.59,0.004218
hard_54,9195,28,67,5.44,0.003872
hard_55,9242,18,35,5.19,0.004019
hard_56,9201,18,42,5.36,0.004028
hard_57,9327,98,164,5.19,0.004332
hard_58,9289,189,291,5.19,0.004822
hard_59,9248,17,36,5.40,0.004048
hard_60,9271,189,266,5.45,0.004617
hard_61,9290,69,105,5.19,0.004214
hard_62,9501,69,214,5.19,0.004509
hard_63,9260,59,106,5.19,0.00419
hard_64,9270,19,29,5.40,0.004025
hard_65,9338,20,41,5.34,0.004144
hard_66,9315,46,88,5.19,0.004082
hard_67,9458,69,107,5.34,0.004408
hard_68,9523,73,195,5.19,0.004517
hard_69,9224,90,148,5.50,0.00445
hard_70,9284,68,119,5.34,0.00419
hard_71,9479,166,303,5.19,0.004889
hard_72,9184,7,24,5.19,0.00383
hard_73,9474,384,669,5.19,0.005504
hard_74,9330,132,282,5.61,0.00502
hard_75,9280,124,159,5.49,0.004415
hard_76,9330,386,507,5.53,0.006113
hard_77,9247,197,299,5.56,0.004693
hard_78,9238,56,92,5.48,0.00419
hard_79,9471,13,37,5.32,0.005614
hard_80,9311,56,101,5.43,0.004221
hard_81,9284,65,97,5.19,0.004229
hard_82,9250,28,52,5.19,0.003986
hard_83,9496,48,100,5.19,0.004376
hard_84,9476,25,82,5.36,0.004443
hard_85,9240,88,128,5.26,0.004417
hard_86,9141,4,10,5.19,0.003951
hard_87,9233,269,440,5.64,0.005309
hard_88,9233,10,30,5.39,0.003898
hard_89,9284,128,189,5.19,0.0043
hard_90,9233,195,325,5.19,0.004649
hard_91,9264,36,51,5.19,0.004046
hard_92,9275,45,57,5.28,0.004367
hard_93,9276,118,159,5.19,0.004595
hard_94,9309,93,196,5.41,0.004377
hard_95,9460,184,332,5.51,0.004763
test_01,8829,0,1,5.19,0.003225
test_02,9071,9,17,5.43,0.003739
test_03,9080,10,17,5.19,0.003908
test_04,9007,2,3,5.27,0.003579
test_05,8829,0,1,5.19,0.003167
test_06,9222,24,40,5.19,0.004028
test_07,9094,5,14,5.47,0.004903
test_08,8829,0,1,5.34,0.003222
test_09,9201,13,22,5.56,0.003821
test_10,9104,7,14,5.51,0.004071
test_11,9098,5,14,5.19,0.003828
test_12,8829,0,1,5.28,0.003156
test_13,8955,1,3,5.23,0.003459
test_14,9125,1,8,5.63,0.003889
test_15,8913,0,1,5.19,0.003423
test_16,8829,0,1,5.29,0.003199
test_17,8829,0,1,5.27,0.003574
test_18,9013,11,19,5.19,0.003607
test_19,8829,0,1,5.27,0.00324
test_20,8829,0,1,5.23,0.003325
test_21,9088,2,9,5.63,0.004062
test_22,8982,2,9,5.38,0.00359
test_23,8973,1,2,5.19,0.003601
test_24,8974,2,10,5.19,0.003507
test_25,9144,7,20,5.50,0.003916
test_26,9147,39,50,5.45,0.003957
test_27,9031,2,3,5.34,0.003561
test_28,9033,3,8,5.42,0.004121
test_29,9200,5,21,5.19,0.004076
test_30,9144,9,18,5.45,0.003883
test_31,9177,18,42,5.57,0.004178
test_32,9086,8,20,5.27,0.003838
test_33,8994,2,5,5.29,0.003697
test_34,8829,0,1,5.19,0.003302
test_35,9019,0,5,5.49,0.003642
test_36,8829,0,1,5.19,0.003139
test_37,9014,1,4,5.19,0.003679
test_38,8829,0,1,5.19,0.003153
test_39,9011,0,1,5.49,0.00334
test_40,8829,0,1,5.24,0.003182
test_41,9201,13,22,5.37,0.003856
test_42,9144,0,11,5.34,0.003846
test_43,9116,8,21,5.19,0.003698
test_44,9165,27,39,5.49,0.003954
test_45,9147,2,13,5.52,0.00382
test_46,9236,1,10,5.35,0.003929
test_47,9244,108,142,5.30,0.004397
test_48,9186,16,42,5.19,0.003857
test_49,9281,70,88,5.43,0.004243
test_50,9146,8,18,5.27,0.004188
